section,dataset,model,scenario,run_name,feature_group,comparison_phase,status,warning,notes,retrieval_mode,query_batch_size,retrieval_depth,precision_k,recall_k,ndcg_k,loaded_queries,qrels_queries,evaluated_queries,queries_with_positive_qrels,queries_without_positive_qrels,use_query_refinement,use_spelling_correction,misspelled_queries,spelling_corrections_applied,feedback_docs,expansion_terms,bm25_k1,bm25_b,candidate_count,ltr_candidate_models,include_biomedical,ltr_model_path,rrf_k,distributed,num_shards,shard_top_k,biomedical_weight,MAP,Precision@10,Recall,nDCG,EvaluationWallTimeSeconds,AverageQueryTimeMs,QueriesPerSecond,error,MAP@1000,Recall@1000,nDCG@10
spelling_correction,clinical_trials,bm25,clean_queries,clinical_trials_bm25_clean_queries,spelling_correction,before,completed,,Original clean evaluation queries.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.265665,0.44,0.742024,0.41982,4.994,99.886,10.011,,0.265665,0.742024,0.41982
spelling_correction,clinical_trials,bm25,misspelled_without_correction,clinical_trials_bm25_misspelled_no_correction,spelling_correction,before,completed,,Deterministically misspelled queries without correction.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,True,0,,,1.5,0.75,,,,,,False,,,,0.170852,0.254,0.559911,0.217386,3.027,60.538,16.518,,0.170852,0.559911,0.217386
spelling_correction,clinical_trials,bm25,misspelled_with_correction,clinical_trials_bm25_misspelled_with_correction,spelling_correction,after,completed,,Misspelled queries corrected by the offline service.,batch,64,1000,10,1000,10,50,50,50,50,0,False,True,True,82,,,1.5,0.75,,,,,,False,,,,0.263142,0.438,0.734653,0.416707,5.409,108.175,9.244,,0.263142,0.734653,0.416707
