section,dataset,model,scenario,run_name,feature_group,comparison_phase,status,warning,notes,retrieval_mode,query_batch_size,retrieval_depth,precision_k,recall_k,ndcg_k,loaded_queries,qrels_queries,evaluated_queries,queries_with_positive_qrels,queries_without_positive_qrels,use_query_refinement,use_spelling_correction,misspelled_queries,spelling_corrections_applied,feedback_docs,expansion_terms,bm25_k1,bm25_b,candidate_count,ltr_candidate_models,include_biomedical,ltr_model_path,rrf_k,distributed,num_shards,shard_top_k,biomedical_weight,MAP,Precision@10,Recall,nDCG,EvaluationWallTimeSeconds,AverageQueryTimeMs,QueriesPerSecond,error,MAP@1000,Recall@1000,nDCG@10
model_comparison,clinical_trials,tfidf,tfidf_baseline,clinical_trials_tfidf_baseline,baseline_representation,,completed,,Baseline representation comparison.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.16118,0.272,0.687131,0.233755,6.396,127.92,7.817,,0.16118,0.687131,0.233755
model_comparison,clinical_trials,bm25,bm25_baseline,clinical_trials_bm25_baseline,baseline_representation,,completed,,Baseline representation comparison.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.265665,0.44,0.742024,0.41982,4.994,99.886,10.011,,0.265665,0.742024,0.41982
model_comparison,clinical_trials,embedding,embedding_baseline,clinical_trials_embedding_baseline,baseline_representation,,completed,,Baseline representation comparison.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,,,,,,False,,,,0.020838,0.092,0.190333,0.071522,1.207,24.148,41.41,,0.020838,0.190333,0.071522
model_comparison,clinical_trials,hybrid_serial,hybrid_serial_baseline,clinical_trials_hybrid_serial_baseline,baseline_representation,,completed,,Baseline representation comparison.,single_query,,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,1000,,,,,False,,,,0.059137,0.11,0.742024,0.07919,17.326,346.52,2.886,,0.059137,0.742024,0.07919
model_comparison,clinical_trials,hybrid_parallel,hybrid_parallel_baseline,clinical_trials_hybrid_parallel_baseline,baseline_representation,,completed,,Baseline representation comparison.,batch,64,1000,10,1000,10,50,50,50,50,0,False,False,False,,,,1.5,0.75,1000,,,,60,False,,,0.0,0.192592,0.352,0.690228,0.304596,13.458,269.158,3.715,,0.192592,0.690228,0.304596
