dataset,model,retrieval_mode,query_batch_size,retrieval_depth,precision_k,recall_k,ndcg_k,loaded_queries,qrels_queries,evaluated_queries,queries_with_positive_qrels,queries_without_positive_qrels,use_query_refinement,feedback_docs,expansion_terms,bm25_k1,bm25_b,candidate_count,rrf_k,MAP@100,Precision@10,Recall@100,nDCG@10,EvaluationWallTimeSeconds,AverageQueryTimeMs,QueriesPerSecond
clinical_trials,hybrid_serial,single_query,,100,10,100,10,50,50,50,50,0,False,,,1.5,0.75,1000,,0.030604,0.11,0.144656,0.07919,16.57,331.4,3.018
clinical_trials,hybrid_parallel,single_query,,100,10,100,10,50,50,50,50,0,False,,,1.5,0.75,1000,60,0.158198,0.352,0.360931,0.304596,114.286,2285.724,0.437
