"section","dataset","model","scenario","run_name","feature_group","comparison_phase","status","notes","retrieval_mode","query_batch_size","retrieval_depth","precision_k","recall_k","ndcg_k","loaded_queries","qrels_queries","evaluated_queries","queries_with_positive_qrels","queries_without_positive_qrels","use_query_refinement","use_spelling_correction","misspelled_queries","spelling_corrections_applied","feedback_docs","expansion_terms","bm25_k1","bm25_b","candidate_count","ltr_candidate_models","include_biomedical","ltr_model_path","rrf_k","distributed","num_shards","shard_top_k","biomedical_weight","MAP","Precision@10","Recall","nDCG","EvaluationWallTimeSeconds","AverageQueryTimeMs","QueriesPerSecond","error","MAP@1000","Recall@1000","nDCG@10"
"query_refinement_before_after","clinical_trials","bm25","before_refinement","clinical_trials_bm25_before_refinement","query_refinement","before","completed","BM25 without pseudo relevance feedback.","batch","64","1000","10","1000","10","50","50","50","50","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.265665","0.44","0.742024","0.41982","4.62","92.407","10.822","","0.265665","0.742024","0.41982"
"query_refinement_before_after","clinical_trials","bm25","after_refinement","clinical_trials_bm25_after_prf_refinement","query_refinement","after","completed","BM25 with pseudo relevance feedback query refinement.","batch","64","1000","10","1000","10","50","50","50","50","0","True","False","False","","3","5","1.5","0.75","","","","","","False","","","","0.226592","0.4","0.727277","0.390925","22.917","458.337","2.182","","0.226592","0.727277","0.390925"
"query_refinement_before_after","quora","bm25","before_refinement","quora_bm25_before_refinement","query_refinement","before","completed","BM25 without pseudo relevance feedback.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","False","False","False","","","","1.5","0.75","","","","","","False","","","","0.721034","0.11675","0.99146","0.761794","285.638","28.564","35.009","","0.721034","0.99146","0.761794"
"query_refinement_before_after","quora","bm25","after_refinement","quora_bm25_after_prf_refinement","query_refinement","after","completed","BM25 with pseudo relevance feedback query refinement.","batch","64","1000","10","1000","10","10000","10000","10000","10000","0","True","False","False","","3","5","1.5","0.75","","","","","","False","","","","0.533091","0.10932","0.989027","0.604169","477.829","47.783","20.928","","0.533091","0.989027","0.604169"
